stephen	ames 
billy	andrade 
stuart	appleby 
paul	azinger 
seve	ballesteros 
chip	beck 
phil	blackmar 
jaydon	blake 
thomas	bjorn 
michael	bradley 
mark	brooks 
olin	browne 
mark	calcavecchia 
jim	carter 
brandel	chamblee 
stewart	cink 
darren	clarke 
russ	cochran 
john	cook 
fred	couples 
ben	crenshaw 
john	daly 
robert	damron 
glen	day 
trevor	dodds 
joe	durant 
david	duval 
steve	elkington 
ernie	els 
bob	estes 
brad	fabel 
nick	faldo 
brad	faxon 
steve	flesch 
dan	forsman 
bob	friend 
david	frost 
fred	funk 
jim	furyk 
ignacio	garrido 
brent	geiberger 
bill	glasson 
paul	goydos 
scott	gump 
jay	haas 
dudley	hart 
nolan	henke 
brian	henninger 
tim	herron 
scott	hoch 
mike	hulbert 
john	huston 
peter	jacobsen 
lee	janzen 
steve	jones 
jerry	kelly 
skip	kendall 
tom	kite 
bernhard	langer 
tom	lehman 
justin	leonard 
bruce	lietzke 
davis	love 
davis	loveIII
steve	lowery 
sandy	lyle 
andrew	magee 
jeff	maggert 
billy	mayfair 
blaine	mccallister 
scott	mccarron 
rocco	mediate 
phil	mickelson 
larry	mize 
colin	montgomerie 
jack	nicklaus 
frank	nobilo 
mark	omeara 
jesper	parnevik 
craig	parry 
steve	pate 
corey	pavin 
chris	perry 
kenny	perry 
nick	price 
loren	roberts 
costantino	rocca 
scott	simpson 
joey	sindelar 
vijay	singh 
jeff	sluman 
craig	stadler 
paul	stankowski 
payne	stewart 
curtis	strange 
steve	stricker 
kevin	sutherland 
hal	sutton 
tommy	tolles 
david	toms 
kirk	triplett 
bob	tway 
ted	tryba 
omar	uresti 
scott	verplank 
grant	waite 
tom	watson 
da	weibring 
lee	westwood 
willie	wood 
tiger	woods 
ian	woosnam 
fuzzy	zoeller 
arnold	palmer 
calvin	peete
bobby	jones
lee	trevino

